gamma,ptbin,mass,errmass
0.1,0,124.74788723195283,0.007679887421023108
1.0,0,124.6961886847739,0.00901021493596684
1.5,0,124.68365959060888,0.00958147157299486
2.0,0,124.66458232205163,0.010086437398736882
2.5,0,124.6630359224096,0.010404215113414998
3.0,0,124.64465991436083,0.010925336781586904
3.5,0,124.63718555289343,0.011220965348211846
4.0,0,124.62876553302509,0.01160016790615968
4.5,0,124.6148879684345,0.011817982838017068
5.0,0,124.61412452225372,0.012033520412959572
5.5,0,124.61211957176783,0.012340158058262754
6.0,0,124.59715404700779,0.01273236032145261
6.5,0,124.6092349812052,0.01310181939914756
7.0,0,124.58361625145591,0.013119903664956438
7.5,0,124.5948686451794,0.013366064949494615
8.0,0,124.57278138513357,0.013547497835359646
8.5,0,124.54300254461324,0.013855533977304359
9.0,0,124.55608228846245,0.014040651769181733
9.5,0,124.58667846701661,0.014253415437494577
10.0,0,124.56241591425223,0.014444570487501108
20.0,0,124.4719259967236,0.01758037993435287
30.0,0,124.41744060267129,0.019487828413810374
40.0,0,124.32428484258787,0.020914194796584525
50.0,0,124.28112725284684,0.02223342213815397
0.1,0,124.74788723195283,0.007679887421023108
1.0,0,124.6961886847739,0.00901021493596684
1.5,0,124.68365959060888,0.00958147157299486
2.0,0,124.66458232205163,0.010086437398736882
2.5,0,124.6630359224096,0.010404215113414998
3.0,0,124.64465991436083,0.010925336781586904
3.5,0,124.63718555289343,0.011220965348211846
4.0,0,124.62876553302509,0.01160016790615968
4.5,0,124.6148879684345,0.011817982838017068
5.0,0,124.61412452225372,0.012033520412959572
5.5,0,124.61211957176783,0.012340158058262754
6.0,0,124.59715404700779,0.01273236032145261
6.5,0,124.6092349812052,0.01310181939914756
7.0,0,124.58361625145591,0.013119903664956438
7.5,0,124.5948686451794,0.013366064949494615
8.0,0,124.57278138513357,0.013547497835359646
8.5,0,124.54300254461324,0.013855533977304359
9.0,0,124.55608228846245,0.014040651769181733
9.5,0,124.58667846701661,0.014253415437494577
10.0,0,124.56241591425223,0.014444570487501108
20.0,0,124.4719259967236,0.01758037993435287
30.0,0,124.41744060267129,0.019487828413810374
40.0,0,124.32428484258787,0.020914194796584525
50.0,0,124.28112725284684,0.02223342213815397
