gamma,norm
0.1,0.013919648232875597
10.0,0.04222031865742676
1.0,0.03804941660825751
1.5,0.02092829154349929
20.0,0.057927097540890114
2.0,0.013949835593021357
2.5,0.015166279948033927
30.0,0.014079448539946858
3.0,0.03648400392579935
3.5,0.024132964991493238
40.0,0.026064266836781192
4.0,0.035613235923214935
4.5,0.023195635083248355
50.0,0.04707855122798313
5.0,0.015217887559500834
5.5,0.04349632336537224
6.0,0.032797450000688524
6.5,0.03124699382379254
7.0,0.051953726049499306
7.5,0.027968639995538325
8.0,0.03147381482277663
8.5,0.040157451233504476
9.0,0.013989797050086794
9.5,0.02046253270960192
